epseason,epnum,epname,rating,dynamics
1,1,The One Where Monica Gets a Roommate,8.4,3
1,1,The One Where Monica Gets a Roommate,8.4,5
1,1,The One Where Monica Gets a Roommate,8.4,56
1,1,The One Where Monica Gets a Roommate,8.4,126
1,2,The One with the Sonogram at the End,8.1,3
1,2,The One with the Sonogram at the End,8.1,6
1,2,The One with the Sonogram at the End,8.1,56
1,3,The One with the Thumb,8.2,1
1,3,The One with the Thumb,8.2,3
1,3,The One with the Thumb,8.2,4
1,4,The One with George Stephanopoulos,8.2,5
1,4,The One with George Stephanopoulos,8.2,126
1,4,The One with George Stephanopoulos,8.2,345
1,5,The One with the East German Laundry Detergent,8.5,14
1,5,The One with the East German Laundry Detergent,8.5,23
1,5,The One with the East German Laundry Detergent,8.5,56
1,6,The One with the Butt,8.2,1
1,6,The One with the Butt,8.2,2
1,6,The One with the Butt,8.2,35
1,7,The One with the Blackout,9.0,1
1,7,The One with the Blackout,9.0,5
1,7,The One with the Blackout,9.0,45
1,7,The One with the Blackout,9.0,56
1,8,The One Where Nana Dies Twice,8.2,1
1,8,The One Where Nana Dies Twice,8.2,36
1,9,The One Where Underdog Gets Away,8.3,2
1,9,The One Where Underdog Gets Away,8.3,6
1,10,The One with the Monkey,8.1,1
1,10,The One with the Monkey,8.1,2
1,10,The One with the Monkey,8.1,3
1,10,The One with the Monkey,8.1,4
1,10,The One with the Monkey,8.1,5
1,10,The One with the Monkey,8.1,6
1,11,The One with Mrs. Bing,8.3,16
1,11,The One with Mrs. Bing,8.3,26
1,11,The One with Mrs. Bing,8.3,34
1,12,The One with the Dozen Lasagnas,8.3,3
1,12,The One with the Dozen Lasagnas,8.3,45
1,12,The One with the Dozen Lasagnas,8.3,6
1,13,The One with the Boobies,8.7,2
1,13,The One with the Boobies,8.7,4
1,13,The One with the Boobies,8.7,1235
1,14,The One with the Candy Hearts,8.3,1
1,14,The One with the Candy Hearts,8.3,6
1,14,The One with the Candy Hearts,8.3,345
1,15,The One with the Stoned Guy,8.3,1
1,15,The One with the Stoned Guy,8.3,3
1,15,The One with the Stoned Guy,8.3,26
1,16,The One with Two Parts: Part 1,8.2,1
1,16,The One with Two Parts: Part 1,8.2,3
1,16,The One with Two Parts: Part 1,8.2,5
1,16,The One with Two Parts: Part 1,8.2,6
1,16,The One with Two Parts: Part 1,8.2,24
1,17,The One with Two Parts: Part 2,8.5,6
1,17,The One with Two Parts: Part 2,8.5,24
1,17,The One with Two Parts: Part 2,8.5,35
1,18,The One with All the Poker*,8.9,5
